0.2033, -1.4723
-0.3790, 0.8981
-0.9236, -0.5674
-0.4338, 0.6904
0.8981, -2.7108
-0.7338, -0.2205
-0.0505, -0.2900
0.6483, -0.3971
-1.0039, -0.7338
0.9236, -1.1544
-0.3253, 0.1350
-0.7786, 0.7338
-0.6483, 1.1223
-0.6692, 1.1878
0.2377, 0.4154
-0.1520, 0.8250
0.3253, -0.8015
-1.3370, 0.0505
0.0842, 0.4338
0.1861, -0.0505
-0.3610, -1.6416
1.1223, -2.3238
-2.1254, 1.4723
-0.2377, -0.4524
-1.2589, -1.1878
-1.0612, 0.5283
-0.3076, -1.5240
0.7560, -0.1350
-0.2033, -0.8250
0.0168, 0.5090
-0.4154, 0.0000
0.3076, 0.0673
-2.7108, 0.0168
-0.3431, -0.1690
-1.1878, 0.6692
-1.0321, -1.7101
-0.8250, 0.7786
-1.0912, -0.0842
-1.3794, -0.8732
-1.4243, 1.5801
0.1520, -0.9236
-0.4524, 0.5674
-1.2970, 1.4243
0.0673, -0.8981
-0.8488, -1.9865
-1.5801, 0.2725
-1.8778, -0.3610
-0.6277, -1.4243
0.7119, -0.5477
-0.5477, -0.7786
-0.5090, 0.8732
0.4900, -0.4900
-0.2725, -1.0912
-1.4723, -0.4338
-1.1544, -0.9497
0.8732, -0.0673
-0.5283, -0.1011
-0.6073, -0.2033
0.4338, 0.1861
1.0321, -0.1180
0.8488, -0.5283
-0.0673, -0.6483
-0.4900, -0.7119
1.2226, -0.4711
0.4711, -1.8778
-1.6416, -0.8488
-0.5674, 0.4711
-0.9497, -1.5801
0.3431, -0.9764
0.0505, -0.6073
-1.7101, 1.1544
0.2205, 0.3610
1.0612, -0.4154
-0.2205, 0.4524
0.2900, -0.3790
-0.6904, -0.3253
0.6073, 0.0337
1.1878, -0.6904
-1.5240, -1.1223
-0.2551, 1.0912
-0.7119, 0.2551
-2.3238, -0.1861
-0.0168, 0.2377
-1.9865, 0.7560
-0.3971, -1.3370
0.8250, -1.0321
1.0912, -1.2589
0.8015, -0.0337
-0.0337, 0.0842
0.9764, -1.0612
-1.2226, 1.8778
-0.4711, -0.1520
0.3971, -1.7877
1.4243, -0.5090
0.0337, 0.2900
-0.8981, -1.2970
-0.1861, 0.1180
0.3610, -0.6692
-0.1690, 0.3790
0.1011, -1.2226
