0.9507, 0.7298, 0.6472, 0.4573
0.5521, 0.8984, 0.1317, 0.6076
0.7126, 0.2686, 0.4879, 0.1939
0.8612, 0.4723, 0.6220, 0.4600
0.5082, 0.9550, 0.0762, 0.7152
0.9592, 0.1978, 0.1542, 0.1894
0.6863, 0.3660, 0.3697, 0.1251
0.6353, 0.6168, 0.7467, 0.4643
0.8534, 0.7712, 0.5112, 0.5937
0.8377, 0.5164, 0.7538, 0.4369
0.9730, 0.8060, 0.0661, 0.7682
0.8473, 0.9423, 0.3597, 0.9422
0.9047, 0.8005, 0.0844, 0.2364
0.7217, 0.7643, 0.4778, 0.6554
0.5860, 0.9086, 0.2833, 0.1125
0.9275, 0.5698, 0.6336, 0.3925
0.6544, 0.7871, 0.0087, 0.0623
0.8306, 0.6225, 0.7697, 0.4030
0.9321, 0.6204, 0.0475, 0.3822
0.7240, 0.5074, 0.6353, 0.0667
0.7696, 0.6985, 0.2410, 0.0595
0.5816, 0.8610, 0.3330, 0.0999
0.7179, 0.1564, 0.0463, 0.0798
0.5073, 0.0778, 0.8750, 0.0653
0.9838, 0.8838, 0.0589, 0.4825
0.6521, 0.7933, 0.3504, 0.5972
0.7071, 0.3586, 0.7228, 0.0794
0.8955, 0.3447, 0.9861, 0.3188
0.5335, 0.4282, 0.7648, 0.3011
0.6849, 0.7078, 0.2075, 0.3992
0.5569, 0.3543, 0.3886, 0.0245
0.9094, 0.9791, 0.0083, 0.9294
0.8117, 0.6034, 0.5264, 0.3081
0.5548, 0.9595, 0.1637, 0.1866
0.5392, 0.8506, 0.0345, 0.0423
0.6377, 0.5369, 0.5315, 0.4930
0.7731, 0.4859, 0.1895, 0.2566
0.8599, 0.7828, 0.3066, 0.0287
0.6938, 0.4831, 0.2489, 0.2935
0.6198, 0.7347, 0.5922, 0.2374
0.7823, 0.9128, 0.3678, 0.2659
0.8338, 0.9338, 0.4614, 0.8945
0.7587, 0.9696, 0.0192, 0.2203
0.6329, 0.6768, 0.0321, 0.0015
0.7341, 0.6969, 0.6731, 0.6578
0.9707, 0.3836, 0.4913, 0.0859
0.9809, 0.9074, 0.3658, 0.3219
0.6923, 0.8328, 0.5726, 0.6366
0.6979, 0.6706, 0.5167, 0.4259
0.5907, 0.7854, 0.0929, 0.3059
0.8278, 0.3885, 0.7778, 0.0394
0.7163, 0.7426, 0.4847, 0.5741
0.6810, 0.2709, 0.9495, 0.0451
0.7868, 0.9580, 0.0241, 0.9436
0.5537, 0.7126, 0.6358, 0.1479
0.7525, 0.7269, 0.0613, 0.0540
0.5148, 0.5718, 0.0039, 0.4181
0.5726, 0.6007, 0.2173, 0.5094
0.6095, 0.4049, 0.4011, 0.1524
0.8210, 0.4776, 0.4331, 0.1672
0.7941, 0.5144, 0.0556, 0.3040
0.9249, 0.5017, 0.5905, 0.0752
0.8565, 0.5352, 0.3929, 0.4897
0.6460, 0.8770, 0.1586, 0.7914
0.6222, 0.8137, 0.5346, 0.8130
0.8969, 0.3934, 0.2236, 0.2497
0.7000, 0.7099, 0.2593, 0.5232
0.6753, 0.4243, 0.8767, 0.1016
0.9519, 0.6680, 0.6526, 0.1347
0.7411, 0.9151, 0.3052, 0.0212
0.9487, 0.8825, 0.0982, 0.0514
0.6589, 0.8979, 0.1091, 0.7455
0.7038, 0.4474, 0.7944, 0.1033
0.7320, 0.4391, 0.4744, 0.3562
0.5619, 0.3394, 0.1376, 0.2156
0.7062, 0.4966, 0.0305, 0.2691
0.8750, 0.6488, 0.0576, 0.2909
0.5267, 0.4853, 0.5670, 0.3637
0.7621, 0.4889, 0.0529, 0.1071
0.7324, 0.8107, 0.2117, 0.0020
0.8943, 0.5436, 0.3566, 0.5164
0.9890, 0.6747, 0.1260, 0.3320
0.7828, 0.2743, 0.3534, 0.1232
0.5019, 0.4377, 0.8682, 0.3309
0.5315, 0.9195, 0.3991, 0.5158
0.8810, 0.3733, 0.4644, 0.2529
0.5826, 0.8725, 0.2000, 0.2986
0.8169, 0.9323, 0.0856, 0.7174
0.6275, 0.3798, 0.4420, 0.2091
0.9174, 0.5832, 0.1647, 0.3707
0.6163, 0.6528, 0.1788, 0.3393
0.8681, 0.9273, 0.2581, 0.1437
0.8315, 0.4136, 0.7259, 0.0896
0.7134, 0.5272, 0.1722, 0.3810
0.7764, 0.3772, 0.1177, 0.3122
0.7551, 0.3117, 0.6531, 0.1407
0.6433, 0.4015, 0.4235, 0.1975
0.8989, 0.9494, 0.1875, 0.0570
0.8916, 0.6921, 0.6705, 0.5044
0.7682, 0.5043, 0.3966, 0.0141
